,loss,train_accuracy_history,test_accuracy_history
0,0.7242484092712402,0.49444444444444446,0.6055555555555555
1,0.7318371534347534,0.5740740740740741,0.5
2,1.8442935943603516,0.5,0.5416666666666666
3,0.8749323487281799,0.5740740740740741,0.6777777777777778
4,0.7092840671539307,0.6370370370370371,0.6351851851851852
5,0.7595816254615784,0.6333333333333333,0.6648148148148149
6,0.589707612991333,0.6972222222222222,0.6916666666666667
7,0.5911937355995178,0.6935185185185185,0.6888888888888889
8,0.5510285496711731,0.7074074074074074,0.6759259259259259
9,0.5205474495887756,0.7194444444444444,0.6842592592592592
10,0.5243563652038574,0.7231481481481481,0.6953703703703704
11,0.5067970752716064,0.7314814814814815,0.7037037037037037
12,0.5066251158714294,0.7277777777777777,0.7
13,0.5126774907112122,0.7277777777777777,0.7064814814814815
14,0.494672030210495,0.7592592592592593,0.7083333333333334
15,0.4849047064781189,0.7583333333333333,0.7064814814814815
16,0.4857172667980194,0.7398148148148148,0.7092592592592593
17,0.47782835364341736,0.7620370370370371,0.7101851851851851
18,0.47280922532081604,0.7675925925925926,0.7129629629629629
19,0.4807232916355133,0.7537037037037037,0.7111111111111111
20,0.47129082679748535,0.774074074074074,0.7138888888888889
21,0.4591389298439026,0.7648148148148148,0.7166666666666667
22,0.4649001955986023,0.774074074074074,0.7166666666666667
23,0.46087557077407837,0.774074074074074,0.7212962962962963
24,0.47058460116386414,0.7611111111111111,0.7194444444444444
25,0.4574286639690399,0.7824074074074074,0.7194444444444444
26,0.4613454043865204,0.7666666666666667,0.7185185185185186
27,0.4721715450286865,0.775,0.7203703703703703
28,0.45530936121940613,0.775,0.7222222222222222
29,0.44693559408187866,0.7907407407407407,0.725925925925926
30,0.45765987038612366,0.7731481481481481,0.7342592592592593
31,0.45074084401130676,0.7759259259259259,0.7342592592592593
32,0.4545373320579529,0.7666666666666667,0.7351851851851852
33,0.4534953534603119,0.775,0.7361111111111112
34,0.45212650299072266,0.7796296296296297,0.7324074074074074
35,0.4378930330276489,0.7851851851851852,0.7333333333333333
36,0.44024115800857544,0.787962962962963,0.7287037037037037
37,0.4414830803871155,0.7851851851851852,0.7287037037037037
38,0.4282678961753845,0.8,0.7305555555555555
39,0.4444934129714966,0.7768518518518519,0.7407407407407407
40,0.43651479482650757,0.7851851851851852,0.7407407407407407
41,0.43600356578826904,0.8074074074074075,0.7342592592592593
42,0.4249078333377838,0.7953703703703704,0.7342592592592593
43,0.4301309287548065,0.7870370370370371,0.7361111111111112
44,0.42768511176109314,0.7981481481481482,0.7314814814814815
45,0.4342251121997833,0.7861111111111111,0.7324074074074074
46,0.4237412214279175,0.7888888888888889,0.7379629629629629
47,0.42524904012680054,0.7888888888888889,0.7435185185185185
48,0.42282959818840027,0.8018518518518518,0.7435185185185185
49,0.39849910140037537,0.8185185185185185,0.7472222222222222
50,0.4234986901283264,0.8,0.7407407407407407
51,0.40454477071762085,0.8055555555555556,0.7435185185185185
52,0.40882912278175354,0.8166666666666667,0.7453703703703703
53,0.4086543023586273,0.812962962962963,0.7481481481481481
54,0.4093385338783264,0.7972222222222223,0.75
55,0.41299471259117126,0.7953703703703704,0.7564814814814815
56,0.40216413140296936,0.8277777777777777,0.7574074074074074
57,0.39902788400650024,0.8148148148148148,0.7564814814814815
58,0.38099807500839233,0.8314814814814815,0.7527777777777778
59,0.398322194814682,0.8231481481481482,0.7574074074074074
60,0.3921894133090973,0.8240740740740741,0.7574074074074074
61,0.3831443786621094,0.8166666666666667,0.762962962962963
62,0.3633168935775757,0.8416666666666667,0.7601851851851852
63,0.35357439517974854,0.8324074074074074,0.7712962962962963
64,0.3806248903274536,0.8231481481481482,0.7787037037037037
65,0.3555682599544525,0.837037037037037,0.7805555555555556
66,0.36245065927505493,0.8388888888888889,0.7805555555555556
67,0.35602980852127075,0.8416666666666667,0.787962962962963
68,0.34572362899780273,0.85,0.7796296296296297
69,0.3510808050632477,0.8435185185185186,0.7972222222222223
70,0.34093984961509705,0.8490740740740741,0.7981481481481482
71,0.34312257170677185,0.8490740740740741,0.7953703703703704
72,0.3315439522266388,0.862037037037037,0.7925925925925926
